date,name,code,open,high,low,close,volume,turnover,turnover_rate
2018-07-25,佳力图,603912,7.89,7.9,7.61,7.66,39483,64278056.0,7.62
2018-07-26,佳力图,603912,7.66,7.71,7.3,7.35,41075,64670251.0,7.93
2018-07-27,佳力图,603912,7.42,7.56,7.34,7.39,23354,36712336.0,4.51
2018-07-30,佳力图,603912,7.36,7.42,7.09,7.16,25846,39378175.0,4.99
2018-07-31,佳力图,603912,7.16,7.23,7.11,7.17,13413,20388882.0,2.59
2018-08-01,佳力图,603912,7.19,7.28,6.95,6.97,19641,29745762.0,3.79
2018-08-02,佳力图,603912,6.94,6.94,6.36,6.57,32597,45891032.0,6.29
2018-08-03,佳力图,603912,6.58,6.63,6.26,6.35,18877,26072430.0,3.64
2018-08-06,佳力图,603912,6.42,6.51,6.27,6.32,20163,27564588.0,3.89
2018-08-07,佳力图,603912,6.26,6.55,6.23,6.52,24160,33205795.0,4.66
2018-08-08,佳力图,603912,6.54,6.54,6.23,6.28,19127,26066487.0,3.69
2018-08-09,佳力图,603912,6.16,6.6,6.16,6.57,34158,47537453.0,6.59
2018-08-10,佳力图,603912,6.56,6.66,6.46,6.65,30045,42095509.0,5.8
2018-08-13,佳力图,603912,6.51,7.0,6.46,6.82,48676,70104042.0,9.4
2018-08-14,佳力图,603912,6.69,6.84,6.64,6.69,26200,37421897.0,5.06
2018-08-15,佳力图,603912,6.68,6.74,6.38,6.44,23490,33024021.0,4.53
2018-08-16,佳力图,603912,6.36,6.69,6.25,6.51,29090,40571472.0,5.62
2018-08-17,佳力图,603912,6.56,6.71,6.43,6.46,28353,39725968.0,5.47
2018-08-20,佳力图,603912,6.36,6.81,6.36,6.75,36020,50961414.0,6.95
2018-08-21,佳力图,603912,6.74,7.03,6.53,7.03,66766,96888814.0,12.89
2018-08-22,佳力图,603912,6.86,6.96,6.77,6.78,29316,42682278.0,5.66
2018-08-23,佳力图,603912,6.78,6.97,6.77,6.89,33516,49016887.0,6.47
2018-08-24,佳力图,603912,6.88,6.89,6.64,6.68,25230,36390330.0,4.87
2018-08-27,佳力图,603912,6.74,6.96,6.69,6.94,35310,51609814.0,6.82
2018-08-28,佳力图,603912,7.02,7.06,6.83,6.89,33141,48885863.0,6.4
2018-08-29,佳力图,603912,6.88,6.93,6.77,6.85,19756,28701751.0,3.81
2018-08-30,佳力图,603912,6.8,6.9,6.56,6.56,22509,32166553.0,4.35
2018-08-31,佳力图,603912,6.53,6.88,6.53,6.71,40918,58878400.0,7.9
2018-09-03,佳力图,603912,6.72,6.73,6.31,6.51,33637,46486274.0,6.49
2018-09-04,佳力图,603912,6.47,6.63,6.44,6.54,22472,31397403.0,4.34
2018-09-05,佳力图,603912,6.56,7.03,6.42,6.94,73314,105465580.0,14.15
2018-09-06,佳力图,603912,6.87,7.03,6.77,6.98,65375,95853166.0,12.62
2018-09-07,佳力图,603912,6.91,7.03,6.72,6.77,44145,64583924.0,8.52
2018-09-10,佳力图,603912,6.66,6.77,6.42,6.44,33744,47086029.0,6.51
2018-09-11,佳力图,603912,6.47,6.69,6.42,6.56,24271,34041361.0,4.69
2018-09-12,佳力图,603912,6.56,6.65,6.46,6.55,16776,23504864.0,3.24
2018-09-13,佳力图,603912,6.69,6.76,6.55,6.68,25123,35700868.0,4.85
2018-09-14,佳力图,603912,6.66,6.7,6.42,6.44,26821,37388735.0,5.18
2018-09-17,佳力图,603912,6.41,6.41,6.24,6.31,18016,24388954.0,3.48
2018-09-18,佳力图,603912,6.24,6.43,6.21,6.43,15962,21675167.0,3.08
2018-09-19,佳力图,603912,6.4,6.6,6.36,6.46,21711,30043546.0,4.19
2018-09-20,佳力图,603912,6.41,6.55,6.31,6.34,18200,24964290.0,3.51
2018-09-21,佳力图,603912,6.32,6.44,6.3,6.41,15245,20828728.0,2.94
2018-09-25,佳力图,603912,6.41,6.51,6.36,6.46,12983,17903795.0,2.51
2018-09-26,佳力图,603912,6.44,6.52,6.39,6.46,14937,20600314.0,2.88
